PINGS,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION,sum
185,902,Cleary Square Plaza,"
City of Boston",,1,Hyde Park,0.07,,Commercial/Office/Business District,"Malls, Squares & Plazas",,BTD,N,X,,BTD,0,0,3081.389404,217.1530493,NA,INFO_Reallocation From Dept,185
182,903,Liberty Tree Park,City of Boston,,1,Central Boston,0.09,,Open Space District,"Malls, Squares & Plazas",<Null>,BPDA + PWD,N,X,,PWD,0,0,3770.130371,362.3737552,NA,INFO_Reallocation From Dept,182
181,161,Lawrence Farm,Private,AP/Ch61A (Part),6,Jamaica Plain,41.7049113, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,Trustees of Reservations,Private,X, ,Allandale Farm,,0,0,1792884.035,6409.127426,NA,INFO_Reallocation From Dept,181
179,718,Centre Street II,Commonwealth of Massachusetts,A97/100/GPOD,2,Roslindale,0.19, ,Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,14779.73462,3543.659443,NA,INFO_Reallocation From Dept,179
175,766,Statler Park,City of Boston,A97,1,Central Boston,0.22675082,Between Columbus Ave. & Stuart St.,Special District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,10134.56787,496.3200216,NA,PARK_Maintenance_Region 5,175
171,937,Fourth Street Park,Commonwealth of Massachusetts,CAT Mit,1,South Boston,0.66,,Industrial District,"Malls, Squares & Plazas",,,N,X,,MADOT,0,0,28715.79614,1294.614912,NA,INFO_Reallocation From Dept,171
170,459,Boston Medical Center Campus,Private, ,1,South End,1.31, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,57233.1167,1817.008647,NA,INFO_Reallocation From Dept,170
164,900,Long Wharf Boat Access,BRA,,1,Central Boston,NA,,Special District,"Malls, Squares & Plazas",,BRA,N,X,,BRA,0,0,3597.780273,320.4027028,NA,INFO_Reallocation From Dept,164
161,292,Peters Park I,City of Boston,A97,3,South End,3.39506058,230 Shawmut Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,144907.2222,1789.604206,NA,PARK_Maintenance_Region 6,161
159,404,Neponset Valley Parkway,Commonwealth of Massachusetts,A97,2,Hyde Park,5.4959161, ,Residential District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,238974.2639,8065.034964,NA,INFO_Reallocation From Dept,159
158,90,Noyes Playground,City of Boston,A97,3,East Boston,8.22374845,86 Boardman St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,362270.7876,2733.8207,NA,PARK_Maintenance_Region 1,158
157,89,East Boston Memorial Park I,City of Boston,A97,3,East Boston,14.79060502, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Satori Stadium,,0,0,770074.5146,7044.28158,NA,PARK_Maintenance_Region 1,157
156,18,Rogers Park,City of Boston,A97,3,Allston-Brighton,8.17116962,Adjacent to 91 Foster St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Galvin Park,,0,0,355942.4768,2579.293015,NA,PARK_Maintenance_Region 4,156
156,24,Chandler Pond,City of Boston,A97/WPA,3,Allston-Brighton,18.90802906,Opposite 44 Lake Shore Rd,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Gallagher Mem. Park,,0,0,829074.7837,4020.124947,NA,PARK_Maintenance_Region 4,156
156,514,Stanley-Bellevue Park,City of Boston,A97,3,Dorchester,0.35177328,23 Bellevue St,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,15599.3313,546.3333491,NA,PARK_Maintenance_Region 2,156
155,631,Valenti Square,Commonwealth of Massachusetts, ,1,Central Boston,0.09, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,5026.921143,324.2399883,NA,INFO_Reallocation From Dept,155
154,619,Brigham Circle Plaza,Private, ,1,Jamaica Plain,0.22, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X,One Brigham Circle,,0,0,9693.936279,404.2712119,NA,INFO_Reallocation From Dept,154
153,51,Copp's Hill Burying Ground,City of Boston,A97/NRHP/PR,4,Central Boston,1.98141665,Opposite 34 Hull Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,86312.04443,1311.859349,NA,PARK_Cemetery Maintenance Request,153
149,20,Turnpike Overlook,MassDOT, ,6,Allston-Brighton,3.15, ,Open Space District,Urban Wilds & Natural Areas,NULL, ,N,N, ,,0,0,137407.7368,3711.089774,NA,INFO_Reallocation From Dept,149
149,479,Chestnut Street,Commonwealth of Massachusetts,A97/GPOD,2,Jamaica Plain,1.03901792, ,Conservation Protection Subdistrict,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,45260.42529,2700.416092,NA,INFO_Reallocation From Dept,149
147,112,Oscar Tugo Circle,City of Boston, ,1,Fenway/Kenmore,0.05755321, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,2507.058105,195.2533361,NA,PARK_Maintenance_Ground Maintenance,147
145,691,Ashburton Place Plaza,Commonwealth of Massachusetts, ,1,Central Boston,0.82,One Ashburton Place,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,35682.41992,1545.41295,NA,INFO_Reallocation From Dept,145
140,972,Canterbury II,Private,,3,Roslindale,3.8,,Conservation Protection Subdistrict,"Parks, Playgrounds and Athletic Fields",,,N,,Sacred Heart School Field,,0,0,165642.9297,1959.157568,NA,INFO_Reallocation From Dept,140
139,309,Berkeley Street Garden,Community Group/Nonprofit,Land Trust,5,South End,1.10192904, ,Residential District,Community Gardens,BNAN, ,N, , ,,0,0,48000.88257,1635.980023,NA,INFO_Reallocation From Dept,139
138,976,Calvary Cemetery,Private, ,4,Roslindale,47.23, ,Residential District,Cemeteries & Burying Grounds,NULL,Private,N, , ,n/a,0,0,2057490.756,6324.036098,NA,INFO_Reallocation From Dept,138
137,999,Old City Hall Grounds,BRA,,1,Central Boston,0.22675871, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,Private,N,X, ,,0,0,10675.39282,475.6582808,NA,PARK_Maintenance_Ground Maintenance,137
136,23,Boston College Athletic Fields,Private, ,3,Allston-Brighton,9.72386143, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N, ,,0,0,423578.9351,3571.941702,NA,INFO_Reallocation From Dept,136
135,366,Martin's Park,City of Boston,A97/Ch91/WPA,3,South Boston,0.85,64 Sleeper St,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X, ,,0,0,36917.00903,882.5237316,NA,INFO_Reallocation From Dept,135
135,549,Charlestown Parcel 6,MassDOT,CAT Mit,1,Charlestown,0.12, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,5053.023193,282.9090381,NA,INFO_Reallocation From Dept,135
132,434,Commonwealth Plaza,MassDOT, ,1,Allston-Brighton,0.15673393, ,Institutional District,"Malls, Squares & Plazas",NULL,Private,N,X, ,,0,0,6827.451904,452.5643083,NA,INFO_Reallocation From Dept,132
129,818,Columbia Road,City of Boston,A97,2,Dorchester,0.58,Columbia Road btwn Boston Road and I-93,Residential District,"Parkways, Reservations & Beaches",DCR,MA DOT,N,X,,DCR,0,0,25062.26636,5194.225785,NA,INFO_Reallocation From Dept,129
128,290,Union Park,City of Boston,A97,3,South End,0.37347945,24 Union Park,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,16269.05249,730.7609147,NA,PARK_Maintenance_Region 6,128
128,663,East Boston Memorial Park III,Commonwealth of Massachusetts,CAT Mit,3,East Boston,2.01, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,,N,X, ,,0,0,87771.31787,2643.431105,NA,INFO_Reallocation From Dept,128
126,527,Union Square Plaza,City of Boston, ,1,Allston-Brighton,0.07861218, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,16984.15063,1005.412807,NA,INFO_Reallocation From Dept,126
125,854,Justice Gourdin Park I,City of Boston,A97,1,Roxbury,0.53, ,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Peace Park,BPRD,0,0,21973.57861,612.2493112,NA,PARK_Maintenance_Ground Maintenance,125
124,45,State House Park,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,1.23870543, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,53958.96777,987.8163573,NA,INFO_Reallocation From Dept,124
124,492,Patten's Cove,Commonwealth of Massachusetts,A97/WPA/Ch91,2,Dorchester,9.57859611, ,Industrial District,"Parkways, Reservations & Beaches",DCR, ,X,X,Savin Hill Marsh; Dorchester Shores Reservation,DCR,0,0,420815.4763,3329.030503,NA,INFO_Reallocation From Dept,124
123,986,Boston Nature Center,Private,LandTrust/Statt,6,Mattapan,58.53,500 Walk Hill Street,Industrial District,Urban Wilds & Natural Areas,Mass Audubon Society,Mass Audubon Society,X,X, ,,0,0,2549464.97,11570.33075,NA,INFO_Reallocation From Dept,123
123,987,Cunningham Park,City of Boston,A97,1,Allston-Brighton,0.17585485, ,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,7827.317627,436.4473615,NA,PARK_Maintenance_Region 4,123
121,339,Allandale Woods I,City of Boston,A97/WPA,6,West Roxbury,49.58, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BPRD,BPRD,X,X, ,,0,0,2159607.388,13903.26028,NA,PARK_Maintenance_Ground Maintenance,121
119,162,Soldier's Monument,City of Boston,A97,1,Jamaica Plain,0.13268804, ,Open Space District,"Malls, Squares & Plazas",BPRD, ,X, , ,,0,0,5779.992676,344.4825198,NA,PARK_Maintenance_Region 3,119
118,95,American Legion Playground,City of Boston,A97,3,East Boston,3.38388095,24 Glendon Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,147249.7583,1538.690942,NA,PARK_Maintenance_Region 1,118
115,130,Deer Island,MWRA,Ch91/WPA,2,Harbor Islands,91.32779604, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",MWRA, ,N,X, ,,0,0,3978309.457,23526.77039,NA,INFO_Reallocation From Dept,115
114,188,Weld Hill Tract,Private, ,3,Roslindale,14.11,"Centre, Weld & Walter Streets",Conservation Protection Subdistrict,"Parks, Playgrounds & Athletic Fields",NULL,Private,N,X,"Walter Street Tract, Arnold Arboretum",,0,0,614572.6064,4031.630048,NA,INFO_Reallocation From Dept,114
114,563,Tufts Wharf Harborwalk,Private,CATMit/Ch91/WPA,1,Central Boston,0.73,510 Atlantic Avenue,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,32195.32739,905.9495897,NA,INFO_Reallocation From Dept,114
114,923,Philbrick Schoolyard,City of Boston, ,3,Roslindale,NA, ,Residential District,Community Gardens,NULL,BPS,N,X, ,BPS,0,0,13073.58911,772.7184084,NA,INFO_Reallocation From Dept,114
112,608,Huntington-Hemenway Mall,City of Boston, ,1,Fenway/Kenmore,0.33,Crnr Huntington Ave & Hemenway St,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,14335.74609,619.1420822,NA,INFO_Reallocation From Dept,112
111,817,Richardson Park,Commonwealth of Massachusetts,A97,1,Dorchester,1.12087438, ,Residential District,"Malls, Squares & Plazas",DCR,DCR,X,X, ,DCR,0,0,48533.85962,935.7868572,NA,INFO_Reallocation From Dept,111
109,626,Sharon's Park,City of Boston,A97,1,Dorchester,0.31,835 Columbia Road,Open Space District,"Malls, Squares & Plazas",DCR,DCR,X,X,Columbia-Buttonwood Park,,0,0,13717.68213,759.3546098,NA,INFO_Reallocation From Dept,109
105,288,Codman Square,City of Boston, ,1,Dorchester,0.33918222, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,14775.04053,572.4550699,NA,PARK_Maintenance_Region 2,105
104,147,Stony Brook Recreation Complex,Commonwealth of Massachusetts,A97,3,Hyde Park,27.39,Corner Turtle Pond Parkway & River Street,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,Kelly/Factory Hill (Lawler)/Bajko/Olsen,,0,0,1193277.176,5359.043288,NA,INFO_Reallocation From Dept,104
104,552,Lincoln Street Green,MassDOT,A97/CAT Mit/RFK,1,Central Boston,0.18,17 South Street,Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,Kennedy Greenway Parcel 23b,,0,0,7734.4729,516.3328,NA,INFO_Reallocation From Dept,104
103,36,Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/Ch91,2,Dorchester,7.99, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,346519.2263,6651.049296,NA,INFO_Reallocation From Dept,103
103,71,Pine Street Park,BRA, ,3,Central Boston,0.27166117, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,12309.17969,543.203011,NA,PARK_Maintenance_Ground Maintenance,103
102,39,Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.49,Opposite 123 Boylston Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,,0,0,64864.22852,1105.081488,NA,PARK_Cemetery Maintenance Request,102
101,198,Whittier Playground,City of Boston, ,3,Roxbury,0.27550283, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,12001.11694,461.2216354,NA,INFO_Reallocation From Dept,101
100,79,Ryan Playground,City of Boston,A97/Ch91/WPA,3,Charlestown,8.78,62 Alford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,382283.0789,2922.478713,NA,PARK_Maintenance_Region 1,100
100,771,Roxbury Heritage State Park I,Commonwealth of Massachusetts,A97,3,Roxbury,2.81, ,Institutional District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,122703.8091,3884.106996,NA,PARK_Maintenance_Region 3,100
99,175,Woodhaven,City of Boston,A97,6,Mattapan,1.1823713, ,Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,53250.93018,931.4803594,NA,PARK_Maintenance_Ground Maintenance,99
99,317,Chester Square,City of Boston,A97,1,South End,0.89013036,Between 531 to 555 Mass Ave.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X,Chester Park,,0,0,38774.76953,1679.24841,NA,PARK_Maintenance_Region 6,99
98,69,Rachel Revere Square,City of Boston,A97,1,Central Boston,0.07859187,210 North St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,3500.370361,238.4433059,NA,PARK_Maintenance_Region 1,98
98,562,Federal Reserve Bank Harborwalk,City of Boston, ,1,Central Boston,0.08, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,3498.840088,584.6977379,NA,INFO_Reallocation From Dept,98
98,977,New Calvary Cemetery,Private, ,4,Mattapan,54.37336773, ,Open Space District,Cemeteries & Burying Grounds,NULL,Private,N, , ,n/a,0,0,2589305.862,7540.607638,NA,INFO_Reallocation From Dept,98
94,453,Boston Design Center Plaza,BRA, ,1,South Boston,0.61467077, ,Industrial District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,33168.9021,1248.6038,NA,INFO_Reallocation From Dept,94
93,643,Foley Square,City of Boston,A97,1,Hyde Park,0.14,Greenwood Avenue & Metropolitan Avenue,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Lt. Robert M. Foley Square; Greenwood Squre,BPRD,0,0,6128.659668,304.6338975,NA,INFO_Reallocation From Dept,93
92,441,Boston University Ball Diamond,Private, ,3,Allston-Brighton,1.67668525, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,Ashford Str. Field,,0,0,73037.7085,1076.742177,NA,INFO_Reallocation From Dept,92
92,705,West Roxbury H.S. Campus,City of Boston, ,3,West Roxbury,7.0780567, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,308320.222,5364.073568,NA,INFO_Reallocation From Dept,92
90,87,Hayes Square,City of Boston,A97,1,Charlestown,0.17470544,Between Bunker Hill and Vine St.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,7610.304688,378.0561509,NA,PARK_Maintenance_Region 1,90
88,367,Emanuel College Grounds,Private, ,1,Fenway/Kenmore,3.62166311, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N, , ,,0,0,139656.1694,3059.850786,NA,INFO_Reallocation From Dept,88
87,168,Mahoney Square,City of Boston,A97,1,Jamaica Plain,0.06021515,Intersection of Day and Centre St.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Hyde Sq., Centre Square",BPRD,0,0,2623.019775,181.5562788,NA,PARK_Maintenance_Region 3,87
86,67,Prince Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Central Boston,1.28, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,55927.80835,2133.610245,NA,INFO_Reallocation From Dept,86
86,298,Worcester Square,City of Boston,A97,1,South End,0.34375641,17 Worcester Sq.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,14974.29541,709.3220837,NA,PARK_Maintenance_Region 6,86
86,609,Canterbury Brookside II,Private,WPA,6,Roslindale,0.49, ,Commercial/Office/Business District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,21489.91919,855.6797534,NA,INFO_Reallocation From Dept,86
84,756,Kevin Fitzgerald Park,Community Group/Nonprofit,Land Trust,3,Jamaica Plain,6.58, ,Conservation Protection Subdistrict,"Parks, Playgrounds & Athletic Fields",Community Group/Nonprofit, ,N,X,Puddingstone Park,,0,0,286503.9661,2815.786215,NA,INFO_Reallocation From Dept,84
81,423,Millennium Park I,City of Boston,SURF/WPA,3,West Roxbury,91.65,300 Gardner Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,X,X,Gardner Street Park,,0,0,3992302.133,9539.997278,NA,PARK_Maintenance_Region 4,81
81,997,O'Donnell Square,City of Boston,A97,1,Dorchester,0.06, ,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,BPRD,,0,0,2656.323486,339.411939,NA,PARK_Maintenance_Region 2,81
80,106,Dom Savio Athletic Field,Private, ,3,East Boston,3.11070765, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,135504.8342,1801.650829,NA,INFO_Reallocation From Dept,80
80,252,Doherty/Gibson Playground,City of Boston,A97,3,Dorchester,5.72627282, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Townfield,,0,0,249440.8799,2054.531915,NA,PARK_Maintenance_Region 2,80
80,887,Mission Church Gardens,Private,,3,Mission Hill,1.13,1545-1565 Tremont St,Institutional District,"Parks, Playgrounds & Athletic Fields",Private,Private,N,,,Private,0,0,49280.64624,1552.123816,NA,INFO_Reallocation From Dept,80
78,293,Rotch Playground,City of Boston,A97,3,South End,2.74585015,30 Randolph Str.,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,119611.3594,1412.849775,NA,PARK_Maintenance_Region 6,78
77,874,Hannon Playground,City of Boston,A97,3,Roxbury,1.97257523,Opposite 624 Dudley Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Mary Hannon Plgd,,0,0,85693.25049,1164.348235,NA,PARK_Maintenance_Region 5,77
76,848,Mission Hill Community Garden I,BNAN,Land Trust,5,Jamaica Plain,0.34,742 Parker Street,Open Space District,Community Gardens,NULL, ,N, , ,,0,0,14725.46558,565.7675102,NA,PARK_Maintenance_Ground Maintenance,76
74,843,Parker/Terrace,City of Boston,,7,Jamaica Plain,1.32,77 Terrace Street,,Urban Wilds & Natural Areas,,,N,,,DND,0,0,57690.13721,1114.773413,NA,PARK_Maintenance_Region 3,74
73,799,Aquarium Harborwalk I,Private,Ch91/WPA,1,Central Boston,0.53,248 Atlantic Avenue,Special District,"Malls, Squares & Plazas",NULL, ,N,X,Central Wharf Harborwalk,,0,0,24966.93506,3070.983866,NA,INFO_Reallocation From Dept,73
73,948,Hunt Playground,City of Boston,A97,3,Mattapan,17.04561712, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Almont Park,BPRD,0,0,791322.6921,4019.77683,NA,PARK_Maintenance_Region 2,73
72,165,English H.S. Athletic Fields,City of Boston, ,3,Jamaica Plain,7.63320583,144 McBride Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, ,,0,0,332508.3577,3592.43958,NA,PARK_Maintenance_Region 3,72
72,323,Mount Benedict Cemetery,Private, ,4,West Roxbury,79.21, ,Conservation Protection Subdistrict,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,3454684.523,11302.80067,NA,INFO_Reallocation From Dept,72
70,257,Codman Burying Ground,Private, ,4,Dorchester,2.62522784, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,114356.9583,1365.334319,NA,PARK_Cemetery Maintenance Request,70
70,929,Franklin Park Zoo Parking/DCR ,Commonwealth of Massachusetts,A97,7,Mattapan,31, ,Institutional District,"Parks, Playgrounds & Athletic Fields",DCR,DCR,X,X,Canterbury II Urban Wild,DCR,0,0,1350371.386,5900.623134,NA,INFO_Reallocation From Dept,70
69,156,Mozart Street Playground,City of Boston,A97,3,Jamaica Plain,0.8062696,28 Mozart Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Holland Plgd,,0,0,35121.72852,768.1724628,NA,PARK_Maintenance_Region 3,69
68,37,McConnell Park,City of Boston,A97,3,Dorchester,6.20127641,28 Denny Str./Playstead Rd,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,279017.4705,3043.681372,NA,PARK_Maintenance_Region 2,68
68,86,Winthrop Square,City of Boston,A97,1,Charlestown,0.9,"Winthrop, Common, Adams Sts.",Residential District,"Malls, Squares & Plazas",BPRD, ,X,X,Training Field,,0,0,39238.9729,753.054851,NA,PARK_Maintenance_Region 1,68
67,707,Columbia Road Park,Commonwealth of Massachusetts,A97,3,Dorchester,0.12,48 Buttonwood Street,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,John McCormack Park,,0,0,5390.639404,304.1636323,NA,INFO_Reallocation From Dept,67
67,779,Cassidy Playground,City of Boston,A97,3,Allston-Brighton,9.3341859,381 Chestnut Hill Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,418485.1807,2708.181303,NA,PARK_Maintenance_Region 4,67
66,735,Independence Wharf Harborwalk,Private,Ch91/WPA,1,Central Boston,0.18,470 Atlantic Avneue,Industrial District,"Malls, Squares & Plazas",NULL,Private,N,X,470 Atlantic Avenue Harborwalk,,0,0,7656.682373,766.1619086,NA,INFO_Reallocation From Dept,66
65,137,Oak Lawn Cemetery,Private, ,4,Hyde Park,10.40684866, ,Commercial/Office/Business District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,264782.5283,2409.177623,NA,INFO_Reallocation From Dept,65
65,1402,A Street Park II,City of Boston,,3,South Boston,0.25,135-141 A Street,Special District,"Parks, Playgrounds & Athletic Fields",,Private,N,X,Channel Center Park,BPWD,0,0,10813.05249,746.9488683,NA,INFO_Reallocation From Dept,65
64,481,Harvard Tract III,Private,100,3,Jamaica Plain,1.45477498, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,Private,N,X,Center Street Tract (Arnold Arboretum),,0,0,64261.58154,1483.856673,NA,INFO_Reallocation From Dept,64
64,831,Calf Pasture II,Commonwealth of Massachusetts,WPA/Ch91,6,Dorchester,7.12, ,Institutional District,Urban Wilds & Natural Areas,NULL, ,N,X, ,,0,0,310030.3396,2579.337242,NA,INFO_Reallocation From Dept,64
63,270,Garvey Playground,City of Boston,A97,3,Dorchester,5.27312017,Opposite 345 Neposet Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,William H. Garvey Playground,,0,0,229295.8442,1961.126104,NA,PARK_Maintenance_Region 2,63
62,52,Copp's Hill Terrace,City of Boston,A97/NRHP,1,Central Boston,0.61198844,536 Commericial Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,26658.69043,682.8574565,NA,PARK_Maintenance_Region 1,62
61,650,Schroeder Plaza,City of Boston, ,1,Roxbury,0.28,"One Schroeder Plaza, Crnr Columbus & Ruggles",Special District,"Malls, Squares & Plazas",NULL, ,N,X,Boston Police HQ Plaza,,0,0,11995.89941,561.3212327,NA,INFO_Reallocation From Dept,61
61,778,Joyce Playground,City of Boston,A97,3,Allston-Brighton,1.31255051,80 Union Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,59447.81836,1041.224601,NA,PARK_Maintenance_Region 4,61
60,592,Brighton HS Hillside,City of Boston, ,1,Allston-Brighton,1.43, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,62147.87939,1386.193483,NA,INFO_Reallocation From Dept,60
58,307,Ramsay Park,City of Boston,A97,3,South End,5.49340772,1917 Washington Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,239297.0942,2040.891346,NA,PARK_Maintenance_Region 6,58
57,550,West End Park,MassDOT,CAT Mit,1,Central Boston,0.14,"Intersection of Nashua St, Lomasney Way & Martha Road",Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,5926.282227,543.1173962,NA,INFO_Reallocation From Dept,57
57,861,The Food Project Lot #2,City of Boston, ,5,Roxbury,1.38,85 Brook Avenue,Residential District,Community Gardens,NULL, ,N, , ,,0,0,60084.13354,1084.020805,NA,INFO_Reallocation From Dept,57
56,393,West Roxbury High School Marsh,City of Boston,WPA,6,West Roxbury,21.19909993, ,Institutional District,Urban Wilds & Natural Areas,NULL, ,N,X, ,,0,0,935902.9191,4677.880035,NA,INFO_Reallocation From Dept,56
55,346,Wentworth Grounds,Private, ,1,Fenway/Kenmore,3.28579794, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,143131.9031,2893.546632,NA,INFO_Reallocation From Dept,55
54,432,Grove Hall Plaza,City of Boston, ,1,Roxbury,0.09250954, ,Open Space District,"Malls, Squares & Plazas",NULL,BRA,N,X, ,,0,0,3848.190186,282.1961871,NA,PARK_Maintenance_Region 5,54
54,981,Orton Field,City of Boston,A97,3,South Boston,1.59,"Crowley-Rogers Way, St Casimir St, Flaherty Way",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPS,X,X,Condon Playground,BPRD,0,0,69449.48389,1050.935048,NA,PARK_Maintenance_Region 6,54
53,291,Peters Park II,BRA,,3,South End,0.42185015,230 Shawmut Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, , ,0,0,22088.99438,1330.051903,NA,INFO_Reallocation From Dept,53
53,478,Perkins Street,Commonwealth of Massachusetts,A97/GPOD,2,Jamaica Plain,0.22700171, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,9888.369629,1359.774837,NA,INFO_Reallocation From Dept,53
53,489,St Michael's Cemetery,Private, ,4,Mattapan,46.49983645, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,2025568.885,12284.61273,NA,INFO_Reallocation From Dept,53
